Apis_Gene_ID,Apis_Genbank_ID,BEEBASE,OGS_v1_1,Bombus_Genbank_ID,Bombus_Gene_ID,Bombus_Description
LOC412077,XP_395543.4,GB50847,GB17453,XP_003393638.1,LOC100651274,bromodomain-containing protein 4-like
LOC412079,XP_395545.1,GB41873,GB17520,XP_003401706.1,LOC100651738,uncharacterized protein LOC100651738 isoform X1
LOC412080,XP_016768964.1,GB41797,GB10436,XP_012173075.1,LOC100651225,coronin-1C
LOC412080,XP_006564637.1,GB41797,NA,NA,NA,NA
LOC412080,XP_006564638.1,GB41797,NA,NA,NA,NA
LOC412080,XP_006564639.1,GB41797,NA,NA,NA,NA
LOC412080,XP_006564640.1,GB41797,NA,NA,NA,NA
LOC412080,XP_006564641.1,GB41797,NA,NA,NA,NA
LOC412081,XP_006570772.1,GB47438,GB18859,XP_012163464.1,LOC100647131,uncharacterized protein LOC100647131 isoform X2
LOC412081,XP_006570771.1,GB47438,NA,NA,NA,NA
LOC412081,XP_006570773.1,GB47438,NA,NA,NA,NA
LOC412081,XP_006570774.1,GB47438,NA,NA,NA,NA
LOC412081,XP_006570775.1,GB47438,NA,NA,NA,NA
LOC412081,XP_006570776.1,GB47438,NA,NA,NA,NA
LOC412081,XP_016771412.1,GB47438,NA,NA,NA,NA
LOC412082,XP_395548.2,GB43902,GB15622,XP_003403068.1,LOC100646934,hexaprenyldihydroxybenzoate methyltransferase%2C mitochondrial
LOC412083,XP_006559436.1,GB51333,GB14298,NA,NA,NA
LOC412083,XP_006559437.1,GB51333,GB14298,XP_003399738.1,LOC100647748,coatomer subunit gamma
LOC412084,XP_395550.3,GB51332,GB10634,XP_003402148.1,LOC100647003,LOW QUALITY PROTEIN: leucine-rich repeat-containing protein 40-like
LOC412085,XP_006565326.1,GB49414,GB10206,XP_003399725.1,LOC100646194,post-GPI attachment to proteins factor 3 isoform X1
LOC412085,XP_006565327.1,GB49414,NA,NA,NA,NA
LOC412088,XP_395554.3,NA,GB17622,NA,NA,NA
LOC412088,XP_006571642.1,NA,NA,XP_003393333.2,LOC100651788,mucin-3A
LOC412088,XP_006571643.1,NA,NA,NA,NA,NA
LOC412088,XP_016767435.1,NA,NA,NA,NA,NA
LOC412088,XP_016767441.1,NA,NA,NA,NA,NA
LOC412088,XP_016767447.1,NA,NA,NA,NA,NA
LOC412091,XP_016769487.1,GB42740,GB10715,NA,NA,NA
LOC412091,XP_006561638.1,GB42740,NA,XP_003397585.2,LOC100650487,A disintegrin and metalloproteinase with thrombospondin motifs 9
LOC412091,XP_016769485.1,GB42740,NA,NA,NA,NA
LOC412091,XP_016769486.1,GB42740,NA,NA,NA,NA
LOC412091,XP_016769488.1,GB42740,NA,NA,NA,NA
LOC412092,XP_006569831.1,GB51734,GB18335,XP_012176287.1,LOC100649130,myosin heavy chain%2C non-muscle isoform X3
LOC412092,XP_006569827.1,GB51734,NA,XP_003394419.1,LOC100649130,myosin heavy chain%2C non-muscle isoform X1
LOC412092,XP_006569829.1,GB51734,NA,NA,NA,NA
LOC412092,XP_016769129.1,GB51734,NA,NA,NA,NA
LOC412092,XP_016769130.1,GB51734,NA,NA,NA,NA
LOC412092,XP_016769131.1,GB51734,NA,NA,NA,NA
LOC412092,XP_016769132.1,GB51734,NA,NA,NA,NA
LOC412093,XP_395559.4,GB48378,GB12917,XP_012167872.1,LOC100649458,LOW QUALITY PROTEIN: serine/threonine-protein phosphatase 1 regulatory subunit 10
LOC412093,XP_006562867.1,GB48378,NA,NA,NA,NA
LOC412093,XP_006562868.1,GB48378,NA,NA,NA,NA
LOC412093,XP_016769805.1,GB48378,NA,NA,NA,NA
LOC412094,XP_006562870.1,GB48408,GB12946,XP_003398221.1,LOC100650046,protein catecholamines up isoform X2
LOC412097,XP_395563.4,GB47844,GB11885,XP_012176462.1,LOC100642362,AP-3 complex subunit delta-1
LOC412097,XP_016767896.1,GB47844,NA,NA,NA,NA
LOC412099,XP_006561336.1,GB52157,GB11707,XP_012173898.1,LOC100649040,GRAM domain-containing protein 3-like isoform X3
LOC412099,XP_006561334.1,GB52157,NA,NA,NA,NA
LOC412099,XP_006561335.1,GB52157,NA,NA,NA,NA
LOC412100,XP_395566.3,GB52220,GB16815,XP_012175916.1,LOC100646171,ribonuclease H1
LOC412101,XP_006562090.2,GB43369,GB17654,XP_012168096.1,LOC100649066,LOW QUALITY PROTEIN: uncharacterized protein LOC100649066
LOC412103,XP_016769431.1,GB40816,GB14241,XP_003396212.1,LOC100650845,transport and Golgi organization protein 1 isoform X1
LOC412104,XP_006571962.1,GB40893,GB12801,XP_003395280.1,LOC100646499,trafficking protein particle complex subunit 8 isoform X1
LOC412104,XP_006571963.1,GB40893,NA,XP_012164415.1,LOC100646499,trafficking protein particle complex subunit 8 isoform X2
LOC412104,XP_006571964.1,GB40893,NA,NA,NA,NA
LOC412104,XP_006571965.1,GB40893,NA,NA,NA,NA
LOC412107,XP_395573.3,GB53196,GB15975,XP_003397443.2,LOC100643001,uncharacterized protein LOC100643001
LOC412108,XP_016770428.1,GB55165,GB15520,NA,NA,NA
LOC412108,XP_006559017.1,GB55165,NA,NA,NA,NA
LOC412108,XP_006559019.1,GB55165,NA,XP_012165784.1,LOC100642332,casein kinase I isoform epsilon isoform X2
LOC412108,XP_006559020.1,GB55165,NA,XP_012165785.1,LOC100642332,casein kinase I isoform epsilon isoform X3
LOC412108,XP_006559021.1,GB55165,NA,NA,NA,NA
LOC412108,XP_006559022.1,GB55165,NA,NA,NA,NA
LOC412109,XP_395575.5,GB54574,GB14268,XP_003402729.2,LOC100651942,cilia- and flagella-associated protein 58-like
LOC412111,XP_395577.4,GB53729,GB10413,XP_003394580.2,LOC100650030,LOW QUALITY PROTEIN: vigilin
LOC412111,XP_006564038.1,GB53729,NA,NA,NA,NA
LOC412112,XP_006569624.1,GB44746,GB17872,XP_012165295.1,LOC100648863,uncharacterized protein LOC100648863 isoform X2
LOC412112,XP_006569623.1,GB44746,NA,XP_012165294.1,LOC100648863,uncharacterized protein LOC100648863 isoform X1
LOC412114,XP_006568182.1,GB41032,GB19771,XP_003396752.1,LOC100647461,LOW QUALITY PROTEIN: ubiquitin carboxyl-terminal hydrolase 35
LOC412115,XP_395581.4,GB40500,GB12127,XP_012173235.1,LOC100649396,autophagy-related protein 9A isoform X1
LOC412115,XP_006559595.1,GB40500,NA,NA,NA,NA
LOC412115,XP_006559596.1,GB40500,NA,NA,NA,NA
LOC412115,XP_016769158.1,GB40500,NA,NA,NA,NA
LOC412115,XP_016769159.1,GB40500,NA,NA,NA,NA
LOC412115,XP_016769160.1,GB40500,NA,NA,NA,NA
LOC412115,XP_016769161.1,GB40500,NA,NA,NA,NA
LOC412115,XP_016769162.1,GB40500,NA,NA,NA,NA
LOC412116,XP_395582.2,GB52075,GB13945,XP_012170615.1,LOC100645022,RNA-binding protein 45
LOC412116,XP_006566987.1,GB52075,NA,NA,NA,NA
LOC412116,XP_016771043.1,GB52075,NA,NA,NA,NA
LOC412117,XP_016767147.1,GB47417,GB12142,NA,NA,NA
LOC412117,XP_006570848.1,GB47417,NA,XP_012164060.1,LOC100651592,polyhomeotic-like protein 2 isoform X1
LOC412117,XP_006570849.1,GB47417,NA,XP_012164063.1,LOC100651592,polyhomeotic-like protein 2 isoform X2
LOC412117,XP_016767154.1,GB47417,NA,NA,NA,NA
LOC412118,XP_395584.4,GB47667,GB19523,XP_003399412.1,LOC100647075,dnaJ homolog subfamily C member 16
LOC412119,XP_006557949.1,GB52314,GB17810,XP_012173529.1,LOC100649006,LOW QUALITY PROTEIN: gamma-tubulin complex component 4
LOC412125,XP_016769283.1,GB51664,GB12391,XP_012173322.1,LOC100647680,ubiquitin-conjugating enzyme E2-24 kDa
LOC412125,XP_006569847.1,GB51664,NA,NA,NA,NA
LOC412125,XP_016769282.1,GB51664,NA,NA,NA,NA
LOC412127,XP_395591.3,GB50724,GB11296,XP_003393749.1,LOC100645311,peptidyl-tRNA hydrolase 2%2C mitochondrial-like isoform X1
LOC412128,XP_395592.4,GB40350,GB16813,NA,NA,NA
LOC412128,XP_006559702.1,GB40350,NA,XP_012173978.1,LOC100645270,LOW QUALITY PROTEIN: DENN domain-containing protein 5A
LOC412128,XP_006559704.1,GB40350,NA,NA,NA,NA
LOC412128,XP_016769234.1,GB40350,NA,NA,NA,NA
LOC412128,XP_016769235.1,GB40350,NA,NA,NA,NA
LOC412128,XP_016769236.1,GB40350,NA,NA,NA,NA
LOC412129,XP_395593.4,GB53089,GB10281,XP_003394903.1,LOC100649921,LOW QUALITY PROTEIN: protein wings apart-like
LOC412129,XP_006558742.1,GB53089,NA,NA,NA,NA
LOC412130,XP_006558750.1,GB53133,GB12156,XP_012163197.1,LOC100648392,ral GTPase-activating protein subunit beta isoform X8
LOC412130,XP_006558743.1,GB53133,NA,XP_012163192.1,LOC100648392,ral GTPase-activating protein subunit beta isoform X3
LOC412130,XP_006558744.1,GB53133,NA,XP_003394890.1,LOC100648392,ral GTPase-activating protein subunit beta isoform X7
LOC412130,XP_006558745.1,GB53133,NA,XP_012163193.1,LOC100648392,ral GTPase-activating protein subunit beta isoform X4
LOC412130,XP_006558746.1,GB53133,NA,XP_012163195.1,LOC100648392,ral GTPase-activating protein subunit beta isoform X5
LOC412130,XP_006558747.1,GB53133,NA,NA,NA,NA
LOC412130,XP_006558748.1,GB53133,NA,XP_012163196.1,LOC100648392,ral GTPase-activating protein subunit beta isoform X6
LOC412130,XP_006558749.1,GB53133,NA,NA,NA,NA
LOC412131,XP_016768324.1,GB45395,GB13714,XP_012167271.1,LOC100651407,LOW QUALITY PROTEIN: chromosome-associated kinesin KIF4
LOC412131,XP_006570938.1,GB45395,NA,NA,NA,NA
LOC412132,XP_395596.4,GB52472,GB12576,XP_012175617.1,LOC100647370,serine/threonine-protein kinase Genghis Khan isoform X1
LOC412132,XP_016766179.1,GB52472,NA,NA,NA,NA
LOC412132,XP_016766180.1,GB52472,NA,NA,NA,NA
LOC412133,XP_006569043.1,GB55632,GB18407,XP_012174543.1,LOC100649564,LOW QUALITY PROTEIN: ubinuclein-1
LOC412133,XP_006569041.1,GB55632,NA,NA,NA,NA
LOC412141,XP_395605.3,GB54848,GB12640,XP_003394884.1,LOC100647725,tumor suppressor candidate 3
LOC412143,XP_395607.4,GB43467,GB18941,NA,NA,NA
LOC412143,XP_006559176.1,GB43467,NA,NA,NA,NA
LOC412143,XP_006559177.1,GB43467,NA,NA,NA,NA
LOC412143,XP_006559178.1,GB43467,NA,NA,NA,NA
LOC412143,XP_006559179.1,GB43467,NA,NA,NA,NA
LOC412143,XP_006559180.1,GB43467,NA,NA,NA,NA
LOC412143,XP_006559181.1,GB43467,NA,XP_003393664.1,LOC100644390,rho guanine nucleotide exchange factor 18 isoform X1
LOC412143,XP_006559182.1,GB43467,NA,NA,NA,NA
LOC412148,XP_395612.3,GB55077,GB11133,XP_012172633.1,LOC100647557,ras suppressor protein 1 isoform X1
LOC412148,XP_006559305.1,GB55077,NA,NA,NA,NA
LOC412149,XP_395613.3,GB53146,GB14137,XP_003395101.1,LOC100644395,uncharacterized protein LOC100644395
LOC412149,XP_006558774.1,GB53146,NA,NA,NA,NA
LOC412150,XP_395614.3,GB41867,GB30506,XP_003401925.1,LOC100649277,LOW QUALITY PROTEIN: endoplasmin
LOC412154,XP_395618.4,GB43125,GB13595,XP_003399380.1,LOC100643089,probable cytosolic oligopeptidase A
LOC412154,XP_006570419.1,GB43125,NA,NA,NA,NA
LOC412154,XP_016770278.1,GB43125,NA,NA,NA,NA
LOC412154,XP_016770279.1,GB43125,NA,NA,NA,NA
LOC412155,XP_395619.4,GB42771,GB17483,XP_003397758.1,LOC100652284,F-box/WD repeat-containing protein 5
LOC412157,XP_016771067.1,GB49346,GB16036,XP_012169959.1,LOC100650336,HEAT repeat-containing protein 5B isoform X3
LOC412158,XP_624867.1,GB44008,GB11719,XP_003394834.1,LOC100652111,BTB/POZ domain-containing protein 17 isoform X1
LOC412159,XP_006559764.1,GB46894,GB15804,XP_003394443.1,LOC100642601,pre-mRNA-splicing factor SYF1
LOC412160,XP_395623.2,GB46911,GB15770,XP_012176386.1,LOC100643072,programmed cell death protein 10
LOC412161,XP_006569838.1,GB51667,GB18625,XP_003402024.1,LOC100651778,zinc finger and BTB domain-containing protein 12-like isoform X2
LOC412161,XP_016769066.1,GB51667,NA,XP_012173575.1,LOC100651778,nucleus accumbens-associated protein 2-like isoform X1
LOC412161,XP_016769067.1,GB51667,NA,NA,NA,NA
LOC412162,XP_016768767.1,GB49219,GB19083,XP_003396822.1,LOC100646147,armadillo repeat-containing protein 4 isoform X2
LOC412163,XP_016772139.1,GB50596,GB16684,XP_012172366.1,LOC100651735,1%2C5-anhydro-D-fructose reductase-like
LOC412164,XP_395627.4,GB45871,GB19822,XP_003396282.1,LOC100649331,protein halfway isoform X4
LOC412164,XP_006568654.1,GB45871,NA,NA,NA,NA
LOC412166,XP_395629.3,GB48195,GB11969,NP_001267818.1,npve,acyl-CoA delta-9 desaturase
LOC412167,XP_006563151.1,GB45952,GB17231,XP_012170201.1,LOC100648531,LOW QUALITY PROTEIN: X-linked retinitis pigmentosa GTPase regulator
LOC412167,XP_006563152.1,GB45952,NA,NA,NA,NA
LOC412169,XP_395632.3,GB41449,GB17948,XP_012164892.1,LOC100651282,cytoplasmic FMR1-interacting protein
LOC412170,XP_395633.4,GB41486,GB18267,XP_012164896.1,LOC100651442,putative neutral sphingomyelinase isoform X1
LOC412170,XP_006565412.1,GB41486,NA,NA,NA,NA
LOC412172,XP_395635.2,GB45082,GB18039,XP_012169055.1,LOC100648173,SHC-transforming protein 1
LOC412172,XP_006566349.1,GB45082,NA,NA,NA,NA
LOC412172,XP_006566350.1,GB45082,NA,NA,NA,NA
LOC412172,XP_006566351.1,GB45082,NA,NA,NA,NA
LOC412172,XP_006566352.1,GB45082,NA,NA,NA,NA
LOC412172,XP_006566353.1,GB45082,NA,NA,NA,NA
LOC412172,XP_006566356.1,GB45082,NA,NA,NA,NA
LOC412172,XP_016770792.1,GB45082,NA,NA,NA,NA
LOC412174,XP_006569709.1,GB47338,NA,XP_012175377.1,LOC100651111,LOW QUALITY PROTEIN: dynein intermediate chain 2%2C axonemal-like
LOC412174,XP_006569710.1,GB47338,NA,NA,NA,NA
LOC412175,XP_395638.2,GB55569,GB10700,XP_003402674.1,LOC100644423,LOW QUALITY PROTEIN: SH3 domain-containing RING finger protein 3
LOC412175,XP_006568879.1,GB55569,NA,NA,NA,NA
LOC412175,XP_006568880.1,GB55569,NA,NA,NA,NA
LOC412176,XP_016768730.1,GB44341,GB30349,XP_012166139.1,LOC100645448,transcription initiation factor TFIID subunit 1 isoform X1
LOC412177,XP_395640.3,GB49173,GB13367,XP_003394713.1,LOC100646774,4-aminobutyrate aminotransferase%2C mitochondrial-like
LOC412177,XP_006568021.1,GB49173,NA,NA,NA,NA
LOC412180,XP_395643.2,GB52060,GB17528,XP_012170301.1,LOC105666347,septin-1
LOC412180,XP_016770897.1,GB52060,NA,NA,NA,NA
LOC412187,XP_016772602.1,GB40303,GB16366,NA,NA,NA
LOC412187,XP_016772599.1,GB40303,NA,NA,NA,NA
LOC412187,XP_016772600.1,GB40303,NA,NA,NA,NA
LOC412187,XP_016772601.1,GB40303,NA,NA,NA,NA
LOC412187,XP_395650.3,GB40303,NA,XP_003399862.1,LOC100643256,broad-complex core protein isoforms 1/2/3/4/5
LOC412188,XP_395651.5,NA,NA,NA,NA,NA
LOC412189,XP_395652.1,NA,GB19920,XP_003397974.1,LOC100649096,phosphopantothenoylcysteine decarboxylase
LOC412190,XP_395653.2,GB40858,GB17141,XP_003397973.1,LOC100648984,probable ATP-dependent RNA helicase DDX47
LOC412191,XP_016770784.1,GB55272,GB12036,NA,NA,NA
LOC412191,XP_016770779.1,GB55272,NA,XP_012176708.1,LOC100642832,protein diaphanous isoform X5
LOC412191,XP_395654.4,GB55272,NA,XP_012176700.1,LOC100642832,protein diaphanous isoform X4
LOC412192,XP_395655.4,GB41981,GB14103,XP_003401797.1,LOC100643018,jmjC domain-containing protein 4
LOC412193,XP_016768009.1,GB45394,GB15504,XP_012167351.1,LOC100651287,LOW QUALITY PROTEIN: coiled-coil domain-containing protein 39
LOC412194,XP_395657.3,GB45375,GB14771,XP_012167269.1,LOC100651646,presenilins-associated rhomboid-like protein%2C mitochondrial isoform X2
LOC412194,XP_016768326.1,GB45375,NA,NA,NA,NA
LOC412195,XP_016773418.1,GB46532,GB11618,XP_003394366.1,LOC100651913,histone-lysine N-methyltransferase SMYD3
LOC412196,XP_395658.4,GB47415,GB13852,XP_012164072.1,LOC100651828,LOW QUALITY PROTEIN: uncharacterized protein LOC100651828
LOC412197,XP_395659.1,GB47475,GB19995,XP_003393098.1,LOC100652068,protein lethal(2)essential for life-like
LOC412198,XP_016769783.1,GB51113,GB16829,XP_012168319.1,LOC100650087,UDP-glucose:glycoprotein glucosyltransferase isoform X1
LOC412198,XP_016769782.1,GB51113,NA,NA,NA,NA
LOC412199,XP_395661.4,GB45342,GB19308,XP_003402288.1,LOC100645269,transcriptional adapter 1-like
LOC412199,XP_016768332.1,GB45342,NA,NA,NA,NA
LOC412200,XP_006559720.1,GB40563,GB16918,XP_012166264.1,LOC100647101,threonine--tRNA ligase%2C cytoplasmic isoform X2
LOC412200,XP_006559719.1,GB40563,NA,XP_012166263.1,LOC100647101,threonine--tRNA ligase%2C cytoplasmic isoform X1
LOC412201,XP_395663.3,GB44763,GB11490,NA,NA,NA
LOC412202,NP_001257759.1,GB52161,GB14537,XP_012175318.1,LOC100647447,flexible cuticle protein 12-like
LOC412203,XP_395665.5,GB51799,GB14822,XP_003401490.2,LOC100644270,protein brown-like isoform X2
LOC412203,XP_016772092.1,GB51799,NA,NA,NA,NA
LOC412205,XP_395667.3,GB50275,GB19225,XP_012169574.1,LOC100642858,monocyte to macrophage differentiation factor 2 isoform X1
LOC412209,XP_395671.3,GB49885,GB15793,XP_012170855.1,LOC100646677,probable cytochrome P450 6a13
LOC412212,XP_006563283.1,GB40775,GB16024,XP_003396215.1,LOC100651200,apoptosis-inducing factor 1%2C mitochondrial
LOC412215,XP_016770738.1,GB49845,GB17253,NA,NA,NA
LOC412215,XP_006563373.1,GB49845,NA,NA,NA,NA
LOC412215,XP_016770736.1,GB49845,NA,XP_012168812.1,LOC100647512,uncharacterized protein LOC100647512 isoform X2
LOC412215,XP_016770737.1,GB49845,NA,XP_012168811.1,LOC100647512,uncharacterized protein LOC100647512 isoform X1
LOC412215,XP_016770739.1,GB49845,NA,NA,NA,NA
LOC412215,XP_016770740.1,GB49845,NA,NA,NA,NA
LOC412217,XP_006558751.1,GB53134,GB18864,XP_012163198.1,LOC100646583,LOW QUALITY PROTEIN: multidrug resistance-associated protein 1-like
LOC412219,XP_006566703.1,GB44906,GB18798,XP_012169227.1,LOC100649777,ubiquitin conjugation factor E4 B
LOC412219,XP_006566704.1,GB44906,NA,NA,NA,NA
LOC412220,XP_016773387.1,GB53933,GB17692,XP_012165137.1,LOC100651114,vesicular glutamate transporter 1
LOC412220,XP_006571698.1,GB53933,NA,NA,NA,NA
LOC412220,XP_395682.4,GB53933,NA,NA,NA,NA
LOC412221,XP_006560659.1,GB49529,GB16362,XP_003394756.1,LOC100651989,proliferation-associated protein 2G4
LOC412222,XP_006572063.2,GB46973,GB10875,XP_003398834.1,LOC100645257,uncharacterized protein LOC100645257 isoform X1
LOC412224,XP_395686.2,GB46478,GB18324,XP_012165349.1,LOC100649136,tectonin beta-propeller repeat-containing protein isoform X1
LOC412224,XP_006570075.1,GB46478,NA,NA,NA,NA
LOC412224,XP_016770831.1,GB46478,NA,NA,NA,NA
LOC412227,XP_395689.5,GB47831,GB12418,XP_003394305.1,LOC100644204,protein SPT2 homolog
LOC412230,XP_006563744.1,GB49952,GB19194,XP_003399457.2,LOC100643212,dynein heavy chain 3%2C axonemal
LOC412231,XP_623497.1,GB50272,GB13821,XP_012169519.1,LOC100649548,trans-1%2C2-dihydrobenzene-1%2C2-diol dehydrogenase-like
LOC412231,XP_006563740.1,GB50272,NA,NA,NA,NA
LOC412231,XP_006563741.1,GB50272,NA,NA,NA,NA
LOC412232,XP_395694.2,GB44541,GB19373,XP_003395676.1,LOC100644845,LOW QUALITY PROTEIN: dipeptidyl peptidase 3
LOC412233,XP_395695.3,GB54261,GB19798,XP_003398081.1,LOC100642217,LOW QUALITY PROTEIN: pseudouridine-metabolizing bifunctional protein C1861.05
LOC412234,XP_395696.2,GB47160,GB18352,XP_003395188.1,LOC100645240,pyrroline-5-carboxylate reductase 2
LOC412235,XP_395697.2,GB47159,GB19042,XP_003395186.1,LOC100645000,LOW QUALITY PROTEIN: caspase-1-like
LOC412236,XP_395698.3,GB46641,GB10378,XP_003396948.1,LOC100652077,E3 ubiquitin-protein ligase LRSAM1-like isoform X2
LOC412236,XP_006557490.1,GB46641,NA,XP_003396949.1,LOC100652077,E3 ubiquitin-protein ligase LRSAM1-like isoform X1
LOC412240,XP_395702.3,GB51597,GB14782,XP_003393017.1,LOC100651909,DNA repair protein complementing XP-A cells homolog
LOC412243,XP_016766645.1,GB47009,GB30197,XP_012175890.1,LOC100642196,protein split ends isoform X2
LOC412243,XP_016766642.1,GB47009,NA,NA,NA,NA
LOC412243,XP_016766643.1,GB47009,NA,NA,NA,NA
LOC412243,XP_016766644.1,GB47009,NA,NA,NA,NA
LOC412245,XP_006572082.1,GB47539,GB12784,XP_012164443.1,LOC100650149,chitinase-3-like protein 2
LOC412247,XP_006563365.1,NA,GB12174,XP_012168828.1,LOC105666216,rRNA methyltransferase 2%2C mitochondrial
LOC412249,XP_395711.4,GB40555,GB17126,XP_003402365.1,LOC100645393,LOW QUALITY PROTEIN: coiled-coil domain-containing protein 22 homolog
LOC412249,XP_006559706.1,GB40555,NA,NA,NA,NA
LOC412251,XP_006563441.1,GB50104,GB13143,XP_012172415.1,LOC100647318,KAT8 regulatory NSL complex subunit 3
LOC412254,XP_016768923.1,GB51757,GB16439,NA,NA,NA
LOC412254,XP_006569870.1,GB51757,NA,NA,NA,NA
LOC412254,XP_006569871.1,GB51757,NA,XP_012166976.1,LOC100645378,zinc finger protein 207
LOC412254,XP_006569872.1,GB51757,NA,NA,NA,NA
LOC412254,XP_006569873.1,GB51757,NA,NA,NA,NA
LOC412254,XP_016768922.1,GB51757,NA,NA,NA,NA
LOC412254,XP_395716.4,GB51757,NA,NA,NA,NA
LOC412256,XP_006568023.1,GB49172,GB19155,NA,NA,NA
LOC412256,XP_006568022.1,GB49172,NA,XP_012176634.1,LOC100646137,nucleosome-remodeling factor subunit NURF301
LOC412256,XP_006568024.1,GB49172,NA,NA,NA,NA
LOC412256,XP_016766678.1,GB49172,NA,NA,NA,NA
LOC412259,XP_395721.4,GB49692,GB17928,XP_003402371.1,LOC100646323,BTB/POZ domain-containing protein KCTD9
LOC412259,XP_016768582.1,GB49692,NA,NA,NA,NA
LOC412259,XP_016768583.1,GB49692,NA,NA,NA,NA
LOC412259,XP_016768584.1,GB49692,NA,NA,NA,NA
LOC412260,XP_016771094.1,GB53605,GB20116,XP_003399815.1,LOC100647635,serine/threonine-protein kinase SIK3-like isoform X1
LOC412262,XP_395724.2,GB51541,GB18499,XP_003393174.1,LOC100651744,protein Hook homolog 3-like
LOC412263,XP_006571773.1,GB42326,GB16506,XP_003393363.1,LOC100645619,endoplasmic reticulum aminopeptidase 1 isoform X1
LOC412263,XP_006571774.1,GB42326,NA,XP_012166716.1,LOC100645619,endoplasmic reticulum aminopeptidase 1 isoform X3
LOC412263,XP_006571775.1,GB42326,NA,XP_012166722.1,LOC100645619,endoplasmic reticulum aminopeptidase 1 isoform X4
LOC412263,XP_395725.3,GB42326,NA,XP_012166707.1,LOC100645619,endoplasmic reticulum aminopeptidase 1 isoform X2
LOC412265,XP_006568026.1,GB49174,GB16156,NA,NA,NA
LOC412265,XP_006568027.1,GB49174,NA,XP_003394710.1,LOC100646462,uncharacterized protein LOC100646462
LOC412265,XP_016766679.1,GB49174,NA,NA,NA,NA
LOC412266,XP_003251156.1,GB49177,GB15660,XP_003394706.1,LOC100645940,60S ribosomal protein L27
LOC412266,XP_003251155.1,GB49177,NA,NA,NA,NA
LOC412267,XP_395729.3,GB49158,GB17710,XP_003394704.1,LOC100645825,probable dynactin subunit 2
LOC412268,XP_003251828.1,GB40881,GB14953,XP_003395292.1,LOC100647895,transcription initiation factor IIA subunit 1 isoform X1
LOC412271,XP_395732.3,GB43732,GB14418,XP_003393385.1,LOC100648234,serine/threonine-protein kinase Aurora-2-like
LOC412272,XP_016769681.1,GB53337,GB11546,XP_012167621.1,LOC100651764,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like
LOC412273,XP_006570346.1,GB43173,GB17733,XP_003399127.1,LOC100651214,probable chitinase 3
LOC412274,XP_395735.4,GB46270,GB15035,XP_012166479.1,LOC100649811,LOW QUALITY PROTEIN: plexin-B
LOC412274,XP_006559220.1,GB46270,NA,NA,NA,NA
LOC412276,XP_006561749.1,GB42676,GB17652,XP_012166821.1,LOC100642523,epimerase family protein SDR39U1 isoform X1
LOC412277,XP_016770754.1,GB45125,GB13432,XP_003398904.1,LOC100643818,mRNA cap guanine-N7 methyltransferase
LOC412277,XP_006566407.1,GB45125,NA,NA,NA,NA
LOC412278,XP_006572241.1,GB49428,GB14209,XP_003402526.2,LOC100645475,tuberin
LOC412278,XP_006572242.1,GB49428,NA,NA,NA,NA
LOC412278,XP_016772912.1,GB49428,NA,NA,NA,NA
LOC412279,XP_016768233.1,GB42358,GB17018,XP_012174702.1,LOC100648731,angiopoietin-2 isoform X2
LOC412281,XP_006572337.1,GB51956,GB15671,XP_012175828.1,LOC100651317,E3 ubiquitin-protein ligase UBR4 isoform X3
LOC412281,XP_006572335.1,GB51956,NA,XP_012175826.1,LOC100651317,E3 ubiquitin-protein ligase UBR4 isoform X1
LOC412281,XP_006572336.1,GB51956,NA,XP_012175827.1,LOC100651317,E3 ubiquitin-protein ligase UBR4 isoform X2
LOC412281,XP_006572338.1,GB51956,NA,XP_012175829.1,LOC100651317,E3 ubiquitin-protein ligase UBR4 isoform X4
LOC412281,XP_016772969.1,GB51956,NA,NA,NA,NA
LOC412282,XP_395743.2,GB54843,GB17550,XP_003394873.1,LOC100646533,LOW QUALITY PROTEIN: leucine--tRNA ligase%2C cytoplasmic
LOC412282,XP_006562583.1,GB54843,NA,NA,NA,NA
LOC412284,XP_395745.4,GB40357,GB13974,NA,NA,NA
LOC412284,XP_006559680.1,GB40357,NA,NA,NA,NA
LOC412284,XP_016769250.1,GB40357,NA,XP_012166312.1,LOC100642758,LOW QUALITY PROTEIN: UPF0518 protein AAEL005291-like
LOC412284,XP_016769251.1,GB40357,NA,NA,NA,NA
LOC412284,XP_016769252.1,GB40357,NA,NA,NA,NA
LOC412285,XP_006563265.1,GB40867,GB15426,XP_003397466.1,LOC100645993,sodium-dependent noradrenaline transporter
LOC412285,NP_001139210.1,GB40867,NA,NA,NA,NA
LOC412285,XP_016767131.1,GB40867,NA,NA,NA,NA
LOC412285,XP_016767156.1,GB40867,NA,NA,NA,NA
LOC412286,XP_006567671.1,GB44558,GB17893,XP_012173969.1,LOC100643508,probable malonyl-CoA-acyl carrier protein transacylase%2C mitochondrial isoform X1
LOC412287,XP_395748.2,GB40746,GB13770,XP_003402736.1,LOC100642713,FK506-binding protein 59 isoform X1
LOC412287,XP_006563315.1,GB40746,NA,XP_012174428.1,LOC100642713,peptidyl-prolyl cis-trans isomerase FKBP4 isoform X2
LOC412287,XP_016768023.1,GB40746,NA,NA,NA,NA
LOC412288,XP_016769031.1,GB54939,GB11315,NA,NA,NA
LOC412288,XP_006571573.1,GB54939,NA,NA,NA,NA
