Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
XP_012163577.1,LOC551173,LOC551173,XP_016767081.1,551173,PREDICTED: eukaryotic translation initiation factor 4E type 2,GB53152,GB11528,XM_012308187.1,eukaryotic translation initiation factor 4E type 2 isoform X1,LOC100647769
XP_012163580.1,LOC726080,LOC726080,XP_016767443.1,726080,PREDICTED: uncharacterized protein LOC726080 isoform X1,GB53066,GB18044,XM_012308190.1,uncharacterized protein LOC100647140,LOC100647140
XP_012163581.1,LOC413936,LOC413936,XP_016767359.1,413936,PREDICTED: uncharacterized protein LOC413936,GB53064,GB12185,XM_012308191.1,LOW QUALITY PROTEIN: uncharacterized protein LOC100648128,LOC100648128
XP_012163586.1,LOC411995,LOC411995,XP_006570779.1,411995,PREDICTED: dual specificity protein phosphatase CDC14B isoform X1,GB47435,GB10224,XM_012308196.1,dual specificity protein phosphatase CDC14B-like isoform X1,LOC100648080
XP_012163588.1,LOC409182,LOC409182,XP_006558244.1,409182,PREDICTED: LOW QUALITY PROTEIN: protein GDAP2 homolog,GB54886,GB17913,XM_012308198.1,protein GDAP2 homolog,LOC100648973
XP_012163589.1,LOC551746,LOC551746,XP_624136.3,551746,PREDICTED: transcriptional activator cubitus interruptus isoform X1,GB54885,GB11331,XM_012308199.1,transcriptional activator cubitus interruptus,LOC100649327
XP_012163590.1,LOC100578955,LOC100578955,XP_016767073.1,100578955,PREDICTED: uncharacterized protein LOC100578955,GB54893,GB16291,XM_012308200.1,flagellar attachment zone protein 1,LOC100649207
XP_012163591.1,LOC409598,LOC409598,XP_016767363.1,409598,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC409598,GB54884,NA,XM_012308201.1,uncharacterized protein LOC100644011,LOC100644011
XP_012163593.1,LOC100579057,LOC100579057,XP_006558246.2,100579057,PREDICTED: translation machinery-associated protein 16 homolog,GB54882,GB12753,XM_012308203.1,translation machinery-associated protein 16,LOC100649688
XP_012163594.1,LOC551518,LOC551518,XP_016772714.1,551518,PREDICTED: glutamyl aminopeptidase isoform X2,GB51237,GB18549,XM_012308204.1,glutamyl aminopeptidase-like,LOC100650479
XP_012163600.1,LOC726755,LOC726755,NP_001091688.1,726755,pyrokinin-like receptor 2,GB18327,GB18327,XM_012308210.1,neuromedin-U receptor 2-like,LOC100650597
XP_012163600.1,LOC726755,LOC726755,NP_001091688.1,726755,pyrokinin-like receptor 2,GB18327,GB18327,XM_012308210.1,neuromedin-U receptor 2-like,LOC100650597
XP_012163600.1,LOC726755,LOC726755,NP_001091688.1,726755,pyrokinin-like receptor 2,GB18327,GB18327,XM_012308210.1,neuromedin-U receptor 2-like,LOC100650597
XP_012163600.1,LOC726755,LOC726755,NP_001091688.1,726755,pyrokinin-like receptor 2,GB18327,GB18327,XM_012308210.1,neuromedin-U receptor 2-like,LOC100650597
XP_012163603.1,LOC412540,LOC412540,XP_016772892.1,412540,PREDICTED: carcinine transporter,GB52895,GB19478,XM_012308213.1,organic cation transporter protein-like,LOC100651365
XP_012163608.1,LOC552283,LOC552283,XP_006572107.2,552283,PREDICTED: glutathione S-transferase,GB48904,GB19254,XM_012308218.1,glutathione S-transferase-like,LOC100651245
XP_012163614.1,LOC726688,LOC726688,XP_001122411.3,726688,PREDICTED: organic cation transporter protein,GB45919,NA,XM_012308224.1,LOW QUALITY PROTEIN: organic cation transporter protein-like,LOC100651796
XP_012163617.1,LOC726305,LOC726305,XP_006557410.1,726305,PREDICTED: uncharacterized protein LOC726305 isoform X3,GB49661,GB14475,XM_012308227.1,E3 ubiquitin-protein ligase RNF38 isoform X4,LOC100651676
XP_012163618.1,LOC100576993,LOC100576993,XP_006557404.1,100576993,PREDICTED: zinc finger protein 1 isoform X1,NA,GB18918,XM_012308228.1,zinc finger protein 1,LOC100642685
XP_012163620.1,LOC552608,LOC552608,XP_006557398.1,552608,PREDICTED: uncharacterized protein LOC552608 isoform X1,GB49640,GB15912,XM_012308230.1,uncharacterized protein LOC100643927 isoform X1,LOC100643927
XP_012163621.1,LOC552608,LOC552608,XP_624985.3,552608,PREDICTED: uncharacterized protein LOC552608 isoform X2,GB49640,GB15912,XM_012308231.1,uncharacterized protein LOC100643927 isoform X2,LOC100643927
XP_012163623.1,LOC726100,LOC726100,XP_006557401.1,726100,PREDICTED: uncharacterized protein LOC726100 isoform X2,GB49655,GB14724,XM_012308233.1,uncharacterized protein LOC100644364 isoform X2,LOC100644364
XP_012163624.1,LOC726100,LOC726100,XP_006557400.1,726100,PREDICTED: uncharacterized protein LOC726100 isoform X1,GB49655,GB14724,XM_012308234.1,uncharacterized protein LOC100644364 isoform X3,LOC100644364
XP_012163633.1,LOC727140,LOC727140,XP_006557397.1,727140,PREDICTED: zinc finger protein 830,GB49654,GB13277,XM_012308243.1,zinc finger protein 830,LOC100643688
XP_012163634.1,LOC552548,LOC552548,XP_016767072.1,552548,PREDICTED: DNA-dependent protein kinase catalytic subunit-like,GB49642,GB11176,XM_012308244.1,LOW QUALITY PROTEIN: DNA-dependent protein kinase catalytic subunit-like,LOC100644482
XP_012163635.1,LOC409324,LOC409324,XP_006557395.1,409324,PREDICTED: short-chain-enoyl-CoA hydratase-like isoform X1,GB49643,GB17726,XM_012308245.1,"probable enoyl-CoA hydratase, mitochondrial",LOC100644167
XP_012163637.1,LOC409306,LOC409306,XP_392824.2,409306,"PREDICTED: 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",GB49649,GB16650,XM_012308247.1,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial isoform X2",LOC100644396
XP_012163640.1,LOC412013,LOC412013,XP_016767454.1,412013,PREDICTED: chorion peroxidase isoform X1,GB49646,NA,XM_012308250.1,chorion peroxidase,LOC100644635
XP_012163641.1,LOC409337,LOC409337,XP_016767419.1,409337,PREDICTED: zinc finger MIZ domain-containing protein 1,GB46672,GB11757,XM_012308251.1,zinc finger MIZ domain-containing protein 1,LOC100644882
XP_012163642.1,LOC102654345,LOC102654345,XP_006562042.1,102654345,PREDICTED: uncharacterized protein C6orf203 homolog,NA,GB14176,XM_012308252.1,uncharacterized protein C6orf203 homolog,LOC105665689
XP_012163643.1,LOC409911,LOC409911,XP_623282.1,409911,PREDICTED: protein disulfide-isomerase A3,GB47462,GB10238,XM_012308253.1,protein disulfide-isomerase A3,LOC100648662
XP_012163645.1,LOC552138,LOC552138,XP_624520.1,552138,PREDICTED: ras-related C3 botulinum toxin substrate 1,GB55933,GB17936,XM_012308255.1,ras-related C3 botulinum toxin substrate 1,LOC100645590
XP_012163646.1,LOC411618,LOC411618,XP_395088.1,411618,"PREDICTED: 39S ribosomal protein L27, mitochondrial isoform X2",GB55932,GB14894,XM_012308256.1,"LOW QUALITY PROTEIN: 39S ribosomal protein L27, mitochondrial",LOC100645827
XP_012163648.1,LOC411619,LOC411619,XP_006562035.1,411619,PREDICTED: double-strand-break repair protein rad21 homolog,GB55931,GB13290,XM_012308258.1,double-strand-break repair protein rad21 homolog,LOC100645942
XP_012163649.1,LOC102653955,LOC102653955,XP_016767087.1,102653955,PREDICTED: protein NDUFAF4 homolog,NA,GB18275,XM_012308259.1,protein NDUFAF4 homolog,LOC100646620
XP_012163650.1,LOC409172,LOC409172,XP_016767265.1,409172,PREDICTED: xaa-Pro aminopeptidase 1-like isoform X1,GB55930,GB18931,XM_012308260.1,xaa-Pro aminopeptidase 1,LOC100645075
XP_012163651.1,LOC102655153,LOC102655153,XP_006562396.1,102655153,PREDICTED: facilitated trehalose transporter Tret1-like,NA,GB11908,XM_012308261.1,facilitated trehalose transporter Tret1-like,LOC105665690
XP_012163656.1,LOC409174,LOC409174,XP_016767264.1,409174,"PREDICTED: mannosyl-oligosaccharide alpha-1,2-mannosidase IA",GB55929,GB18284,XM_012308266.1,"mannosyl-oligosaccharide 1,2-alpha-mannosidase IA isoform X2",LOC100646409
XP_012163659.1,LOC411037,LOC411037,XP_394510.5,411037,PREDICTED: zinc finger and BTB domain-containing protein 41,GB43809,GB18591,XM_012308269.1,uncharacterized protein LOC100646861 isoform X2,LOC100646861
XP_012163661.1,LOC100577876,LOC100577876,XP_016767521.1,100577876,PREDICTED: viral IAP-associated factor homolog,GB43808,GB11137,XM_012308271.1,viral IAP-associated factor homolog,LOC100646979
XP_012163663.1,LOC411038,LOC411038,XP_016767365.1,411038,PREDICTED: uncharacterized protein LOC411038 isoform X1,GB43798,GB16172,XM_012308273.1,uncharacterized protein LOC100646738 isoform X1,LOC100646738
XP_012163664.1,LOC411038,LOC411038,XP_016767366.1,411038,PREDICTED: uncharacterized protein LOC411038 isoform X2,GB43798,GB16172,XM_012308274.1,uncharacterized protein LOC100646738 isoform X2,LOC100646738
XP_012163666.1,LOC411038,LOC411038,XP_006562401.1,411038,PREDICTED: uncharacterized protein LOC411038 isoform X3,GB43798,GB16172,XM_012308276.1,uncharacterized protein LOC100646738 isoform X4,LOC100646738
XP_012163667.1,LOC408633,LOC408633,XP_006571544.1,408633,PREDICTED: chromatin complexes subunit BAP18 isoform X2,GB54984,GB19313,XM_012308277.1,chromatin complexes subunit BAP18 isoform X2,LOC100651827
XP_012163668.1,LOC724604,LOC724604,XP_016767092.1,724604,PREDICTED: uncharacterized protein LOC724604,NA,GB16690,XM_012308278.1,zinc finger protein 502-like,LOC105665692
XP_012163670.1,LOC409910,LOC409910,XP_016766878.1,409910,PREDICTED: ras-like GTP-binding protein Rho1 isoform X2,GB47431,GB13135,XM_012308280.1,ras-like GTP-binding protein Rho1 isoform X1,LOC100649013
XP_012163671.1,LOC102654858,LOC102654858,XP_006562780.1,102654858,PREDICTED: zinc finger and BTB domain-containing protein 41-like,NA,NA,XM_012308281.1,zinc finger protein 436-like isoform X1,LOC100647692
XP_012163672.1,LOC102654889,LOC102654889,XP_006562781.1,102654889,PREDICTED: zinc finger protein 37-like,NA,NA,XM_012308282.1,zinc finger protein OZF-like isoform X2,LOC100647692
XP_012163677.1,LOC408811,LOC408811,XP_016767392.1,408811,PREDICTED: transmembrane and coiled-coil domains protein 2 isoform X1,GB50390,GB11077,XM_012308287.1,LOW QUALITY PROTEIN: transmembrane and coiled-coil domains protein 2,LOC100647807
XP_012163678.1,LOC409910,LOC409910,XP_016766874.1,409910,PREDICTED: ras-like GTP-binding protein Rho1 isoform X1,GB47431,GB13135,XM_012308288.1,ras-like GTP-binding protein Rho1 isoform X2,LOC100649013
XP_012163679.1,LOC100577976,LOC100577976,XP_016767395.1,100577976,PREDICTED: GSK3-beta interaction protein,NA,GB15433,XM_012308289.1,GSK3-beta interaction protein,LOC105665698
XP_012163680.1,LOC724739,LOC724739,XP_016767070.1,724739,PREDICTED: LOW QUALITY PROTEIN: zinc finger protein 571-like,GB50491,GB10785,XM_012308290.1,zinc finger protein 157-like isoform X1,LOC100648129
XP_012163684.1,LOC408810,LOC408810,XP_016767061.1,408810,PREDICTED: rap guanine nucleotide exchange factor 2-like isoform X1,GB50397,GB20093,XM_012308294.1,rap guanine nucleotide exchange factor 2-like isoform X2,LOC100648358
XP_012163688.1,LOC408810,LOC408810,XP_006562759.1,408810,PREDICTED: rap guanine nucleotide exchange factor 2-like isoform X6,GB50397,GB20093,XM_012308298.1,rap guanine nucleotide exchange factor 2-like isoform X5,LOC100648358
XP_012163689.1,LOC408810,LOC408810,XP_016767065.1,408810,PREDICTED: rap guanine nucleotide exchange factor 6-like isoform X4,GB50397,GB20093,XM_012308299.1,rap guanine nucleotide exchange factor 6-like isoform X6,LOC100648358
XP_012163691.1,LOC408810,LOC408810,XP_006562755.1,408810,PREDICTED: rap guanine nucleotide exchange factor 2-like isoform X3,GB50397,GB20093,XM_012308301.1,rap guanine nucleotide exchange factor 2-like isoform X8,LOC100648358
XP_012163693.1,LOC408810,LOC408810,XP_006562762.1,408810,PREDICTED: rap guanine nucleotide exchange factor 2-like isoform X11,GB50397,GB20093,XM_012308303.1,rap guanine nucleotide exchange factor 2-like isoform X10,LOC100648358
XP_012163695.1,LOC408810,LOC408810,XP_006562763.1,408810,PREDICTED: rap guanine nucleotide exchange factor 2-like isoform X12,GB50397,GB20093,XM_012308305.1,rap guanine nucleotide exchange factor 2-like isoform X12,LOC100648358
XP_012163696.1,LOC408810,LOC408810,XP_006562765.1,408810,PREDICTED: rap guanine nucleotide exchange factor 2-like isoform X14,GB50397,GB20093,XM_012308306.1,rap guanine nucleotide exchange factor 2-like isoform X13,LOC100648358
XP_012163700.1,LOC412801,LOC412801,XP_396254.5,412801,PREDICTED: mediator of RNA polymerase II transcription subunit 12-like,GB50402,GB18524,XM_012308310.1,uncharacterized protein LOC100648819,LOC100648819
XP_012163701.1,LOC102655622,LOC102655622,XP_016767291.1,102655622,PREDICTED: facilitated trehalose transporter Tret1-like,NA,GB20048,XM_012308311.1,facilitated trehalose transporter Tret1-like,LOC100644600
XP_012163702.1,LOC102655592,LOC102655592,XP_006567241.2,102655592,PREDICTED: coiled-coil domain-containing protein 103,NA,NA,XM_012308312.1,coiled-coil domain-containing protein 103,LOC105665699
XP_012163704.1,LOC102655905,LOC102655905,XP_016767232.1,102655905,PREDICTED: uncharacterized protein LOC102655905,NA,NA,XM_012308314.1,uncharacterized protein LOC105665700,LOC105665700
XP_012163705.1,LOC102655970,LOC102655970,XP_006567377.2,102655970,PREDICTED: cytochrome b-c1 complex subunit 7-like,NA,GB13385,XM_012308315.1,cytochrome b-c1 complex subunit 7-like,LOC105665701
XP_012163707.1,LOC725297,Gr10,XP_006567172.1,725297,PREDICTED: gustatory receptor 10 isoform X1,GB44014,GB19597,XM_012308317.1,uncharacterized protein LOC100650806,LOC100650806
XP_012163707.1,LOC725297,Gr10,XP_006567172.1,725297,PREDICTED: gustatory receptor 10 isoform X1,GB44014,GB19449,XM_012308317.1,uncharacterized protein LOC100650806,LOC100650806
XP_012163709.1,LOC100576476,LOC100576476,XP_016767076.1,100576476,PREDICTED: UBX domain-containing protein 11-like,GB53105,GB18174,XM_012308319.1,uncharacterized protein LOC100645073,LOC100645073
XP_012163710.1,LOC100578579,LOC100578579,XP_006562745.1,100578579,PREDICTED: uncharacterized protein LOC100578579,GB50407,NA,XM_012308320.1,uncharacterized protein LOC100651991,LOC100651991
XP_012163711.1,LOC551656,LOC551656,XP_625261.1,551656,PREDICTED: DNA translocase FtsK-like,GB50451,GB11430,XM_012308321.1,transcriptional regulator DEF1-like,LOC100644363
XP_012163712.1,LOC409910,LOC409910,XP_016766883.1,409910,PREDICTED: ras-like GTP-binding protein Rho1 isoform X3,GB47431,GB13135,XM_012308322.1,ras-like GTP-binding protein Rho1 isoform X3,LOC100649013
XP_012163713.1,LOC725209,LOC725209,XP_016767241.1,725209,PREDICTED: sensory neuron membrane protein 2 isoform X1,GB50454,GB12830,XM_012308323.1,sensory neuron membrane protein 2-like,LOC100642446
XP_012163715.1,LOC107964304,LOC107964304,XP_016767246.1,107964304,PREDICTED: uncharacterized protein LOC107964304,NA,NA,XM_012308325.1,uncharacterized protein LOC100645189,LOC100645189
XP_012163716.1,LOC411021,LOC411021,XP_394494.4,411021,PREDICTED: UDP-glucuronosyltransferase 2B18,GB40997,GB12751,XM_012308326.1,UDP-glucuronosyltransferase 2C1-like,LOC100646290
XP_012163717.1,LOC724430,LOC724430,XP_006565493.1,724430,PREDICTED: putative sodium/calcium exchanger 7 isoform X1,GB40998,GB11505,XM_012308327.1,"sodium/potassium/calcium exchanger 6, mitochondrial-like",LOC105665703
XP_012163718.1,LOC102655408,LOC102655408,XP_006565500.1,102655408,PREDICTED: LOW QUALITY PROTEIN: cadherin-86C,NA,GB16532,XM_012308328.1,uncharacterized protein LOC105665704,LOC105665704
XP_012163721.1,LOC107964258,LOC107964258,XP_016767085.1,107964258,PREDICTED: spermatogenesis-associated protein 17-like,NA,NA,XM_012308331.1,unconventional myosin-Va-like,LOC105665706
XP_012163725.1,LOC409774,LOC409774,XP_016767285.1,409774,PREDICTED: testican-1 isoform X2,GB53139,GB11431,XM_012308335.1,testican-2,LOC100642840
XP_012163726.1,LOC102654965,LOC102654965,XP_016767258.1,102654965,PREDICTED: uncharacterized protein LOC102654965,NA,GB11245,XM_012308336.1,LOW QUALITY PROTEIN: uncharacterized protein LOC105665708,LOC105665708
XP_012163728.1,LOC107964016,LOC107964016,XP_016767467.1,107964016,PREDICTED: uncharacterized protein LOC100578989 isoform X1,NA,NA,XM_012308338.1,uncharacterized protein LOC105665711,LOC105665711
XP_012163729.1,LOC409909,LOC409909,XP_016766860.1,409909,PREDICTED: small glutamine-rich tetratricopeptide repeat-containing protein alpha isoform X1,GB47430,GB10757,XM_012308339.1,small glutamine-rich tetratricopeptide repeat-containing protein beta-like isoform X1,LOC100649012
XP_012163730.1,LOC100578919,LOC100578919,XP_016767527.1,100578919,PREDICTED: uncharacterized protein LOC100578919,GB54891,GB19900,XM_012308340.1,uncharacterized protein LOC100649087,LOC100649087
XP_012163732.1,LOC100576093,LOC100576093,XP_006558247.2,100576093,PREDICTED: uncharacterized protein LOC100576093,GB54895,GB14271,XM_012308342.1,uncharacterized protein LOC100644126,LOC100644126
XP_012163735.1,LOC408633,LOC408633,XP_006571545.1,408633,PREDICTED: chromatin complexes subunit BAP18 isoform X3,GB54984,GB19313,XM_012308345.1,chromatin complexes subunit BAP18 isoform X3,LOC100651827
XP_012163736.1,LOC726377,LOC726377,XP_006557391.1,726377,PREDICTED: putative mediator of RNA polymerase II transcription subunit 24,GB49648,NA,XM_012308346.1,putative uncharacterized protein DDB_G0282133,LOC105665714
XP_012163738.1,LOC102653803,LOC102653803,XP_016767504.1,102653803,PREDICTED: uncharacterized protein LOC102653803 isoform X2,NA,NA,XM_012308348.1,LOW QUALITY PROTEIN: uncharacterized protein LOC105665716,LOC105665716
XP_012163739.1,LOC727619,LOC727619,XP_016773225.1,727619,PREDICTED: zinc finger protein 585B,GB48890,NA,XM_012308349.1,zinc finger protein 585A-like,LOC100647332
XP_012163740.1,LOC100578714,LOC100578714,XP_003250151.1,100578714,PREDICTED: F-box only protein 39-like isoform X2,GB50492,GB12254,XM_012308350.1,uncharacterized protein LOC100647929,LOC100647929
XP_012163744.1,LOC406082,nAChRa8,NP_001011575.1,406082,nicotinic acetylcholine receptor alpha8 subunit,GB40923,GB15196,XM_012308354.1,acetylcholine receptor subunit beta-like 2 isoform X1,LOC100643282
XP_012163751.1,LOC551219,LOC551219,XP_016767882.1,551219,PREDICTED: LOW QUALITY PROTEIN: DNA polymerase iota,NA,GB12093,XM_012308361.1,DNA polymerase iota,LOC100645193
XP_012163753.1,LOC100577521,LOC100577521,XP_016771284.1,100577521,PREDICTED: uncharacterized protein LOC100577521,GB47429,GB19896,XM_012308363.1,LOW QUALITY PROTEIN: uncharacterized protein LOC100649245,LOC100649245
XP_012163754.1,LOC409206,LOC409206,XP_006561121.1,409206,PREDICTED: tripartite motif-containing protein 2-like isoform X4,GB40928,GB18027,XM_012308364.1,tripartite motif-containing protein 2-like isoform X3,LOC100645486
XP_012163760.1,LOC409782,LOC409782,XP_016767858.1,409782,PREDICTED: pikachurin,GB40908,GB14300,XM_012308370.1,pikachurin-like,LOC100648744
XP_012163761.1,LOC413128,LOC413128,XP_396579.2,413128,PREDICTED: putative ferric-chelate reductase 1 homolog isoform X1,GB40907,GB16326,XM_012308371.1,putative ferric-chelate reductase 1 homolog isoform X1,LOC100647963
XP_012163763.1,LOC100578822,LOC100578822,XP_003249802.1,100578822,PREDICTED: uncharacterized protein LOC100578822,GB40932,GB12424,XM_012308373.1,muscle M-line assembly protein unc-89-like,LOC105665717
XP_012163764.1,LOC409781,LOC409781,XP_006561133.1,409781,PREDICTED: uncharacterized protein LOC409781,GB40931,GB18064,XM_012308374.1,uncharacterized protein LOC100644718 isoform X1,LOC100644718
XP_012163770.1,LOC725211,LOC725211,XP_006561135.1,725211,PREDICTED: uncharacterized protein LOC725211,GB40904,GB13479,XM_012308380.1,uncharacterized protein LOC105665718,LOC105665718
XP_012163771.1,LOC409547,LOC409547,XP_006561137.1,409547,PREDICTED: NSFL1 cofactor p47-like,GB40934,GB18245,XM_012308381.1,LOW QUALITY PROTEIN: NSFL1 cofactor p47,LOC100648434
XP_012163773.1,LOC411465,LOC411465,XP_006561140.1,411465,PREDICTED: probable cleavage and polyadenylation specificity factor subunit 2,GB40901,GB13850,XM_012308383.1,probable cleavage and polyadenylation specificity factor subunit 2,LOC100642486
XP_012163777.1,LOC727582,LOC727582,XP_006562255.1,727582,"PREDICTED: tryptophan--tRNA ligase, cytoplasmic",GB46801,GB14934,XM_012308387.1,"LOW QUALITY PROTEIN: tryptophan--tRNA ligase, cytoplasmic",LOC100646702
XP_012163781.1,LOC413021,LOC413021,XP_006562245.1,413021,PREDICTED: papilin isoform X4,GB46795,GB16153,XM_012308391.1,papilin isoform X4,LOC100644288
XP_012163783.1,LOC413021,LOC413021,XP_006562246.1,413021,PREDICTED: papilin isoform X5,GB46795,GB16153,XM_012308393.1,papilin isoform X6,LOC100644288
XP_012163784.1,LOC413021,LOC413021,XP_006562247.1,413021,PREDICTED: papilin isoform X6,GB46795,GB16153,XM_012308394.1,papilin isoform X7,LOC100644288
XP_012163786.1,LOC413021,LOC413021,XP_006562249.1,413021,PREDICTED: papilin isoform X7,GB46795,GB16153,XM_012308396.1,papilin isoform X9,LOC100644288
XP_012163787.1,LOC552079,LOC552079,XP_006564797.1,552079,PREDICTED: homeobox protein homothorax isoform X3,GB48655,GB18348,XM_012308397.1,homeobox protein homothorax,LOC100644518
XP_012163790.1,LOC411086,LOC411086,XP_016767844.1,411086,PREDICTED: protein jagged-1 isoform X1,GB48639,GB15155,XM_012308400.1,protein jagged-1,LOC100649805
XP_012163791.1,LOC411085,LOC411085,XP_394559.1,411085,PREDICTED: ADP-ribosylation factor-like protein 2,GB48646,GB18495,XM_012308401.1,ADP-ribosylation factor-like protein 2,LOC100644603
XP_012163797.1,LOC725795,LOC725795,XP_001121602.2,725795,PREDICTED: INO80 complex subunit D,NA,GB19515,XM_012308407.1,INO80 complex subunit D,LOC100651002
XP_012163801.1,LOC409382,LOC409382,XP_006564283.1,409382,PREDICTED: E3 ubiquitin-protein ligase TRIP12 isoform X1,GB42014,GB12788,XM_012308411.1,E3 ubiquitin-protein ligase TRIP12 isoform X1,LOC100650881
XP_012163802.1,LOC409382,LOC409382,XP_006564284.1,409382,PREDICTED: E3 ubiquitin-protein ligase TRIP12 isoform X2,GB42014,GB12788,XM_012308412.1,E3 ubiquitin-protein ligase TRIP12 isoform X2,LOC100650881
XP_012163803.1,LOC100578355,LOC100578355,XP_006564285.1,100578355,PREDICTED: zinc finger protein 484,GB42012,GB11938,XM_012308413.1,LOW QUALITY PROTEIN: zinc finger protein 836,LOC100648393
XP_012163805.1,LOC724856,LOC724856,XP_001120760.2,724856,PREDICTED: uncharacterized protein LOC724856,GB42010,GB13773,XM_012308415.1,LOW QUALITY PROTEIN: uncharacterized protein LOC100649690,LOC100649690
XP_012163812.1,LOC725171,LOC725171,XP_006564274.1,725171,PREDICTED: uncharacterized protein LOC725171,GB42017,GB16862,XM_012308422.1,uncharacterized protein LOC105665719 isoform X2,LOC105665719
XP_012163815.1,LOC100578046,LOC100578046,XP_003250433.1,100578046,PREDICTED: probable G-protein coupled receptor Mth-like 1,GB42084,NA,XM_012308425.1,probable G-protein coupled receptor Mth-like 1 isoform X1,LOC100647808
XP_012163817.1,LOC552243,LOC552243,XP_016766772.1,552243,PREDICTED: mucin-5AC isoform X6,GB47425,GB15350,XM_012308427.1,uncharacterized protein LOC100649318 isoform X4,LOC100649318
XP_012163818.1,LOC107964421,LOC107964421,XP_016767652.1,107964421,PREDICTED: probable G-protein coupled receptor Mth-like 5,NA,NA,XM_012308428.1,probable G-protein coupled receptor Mth-like 5,LOC100645121
XP_012163819.1,LOC413548,LOC413548,XP_396990.3,413548,PREDICTED: intron-binding protein aquarius isoform X1,GB42016,GB19403,XM_012308429.1,intron-binding protein aquarius,LOC100644758
XP_012163820.1,LOC413439,LOC413439,XP_006564278.1,413439,PREDICTED: single-strand selective monofunctional uracil DNA glycosylase,GB42086,GB12426,XM_012308430.1,single-strand selective monofunctional uracil DNA glycosylase,LOC100651441
XP_012163821.1,LOC100578191,LOC100578191,XP_006564271.1,100578191,PREDICTED: uncharacterized protein LOC100578191,GB42018,NA,XM_012308431.1,uncharacterized protein LOC100644171,LOC100644171
XP_012163822.1,LOC552536,LOC552536,XP_003250432.2,552536,PREDICTED: LOW QUALITY PROTEIN: adipocyte plasma membrane-associated protein,GB42082,GB20003,XM_012308432.1,LOW QUALITY PROTEIN: adipocyte plasma membrane-associated protein-like,LOC100646257
XP_012163823.1,LOC552243,LOC552243,XP_006570796.1,552243,PREDICTED: mucin-5AC isoform X3,GB47425,GB15350,XM_012308433.1,microtubule-associated protein 4 isoform X5,LOC100649318
XP_012163831.1,LOC107963978,LOC107963978,XP_016767564.1,107963978,PREDICTED: uncharacterized protein PFB0145c-like,NA,NA,XM_012308441.1,MATH and LRR domain-containing protein PFE0570w-like isoform X1,LOC100646295
XP_012163832.1,LOC552243,LOC552243,XP_006570798.1,552243,PREDICTED: mucin-5AC isoform X5,GB47425,GB15350,XM_012308442.1,hyphal wall protein 1 isoform X6,LOC100649318
XP_012163835.1,LOC413630,LOC413630,XP_016767774.1,413630,PREDICTED: protein PRRC1-A-like,GB46761,GB12995,XM_012308445.1,protein PRRC1-B-like isoform X3,LOC100646138
XP_012163836.1,LOC413365,LOC413365,XP_396810.3,413365,PREDICTED: nucleoporin SEH1,GB46714,GB17643,XM_012308446.1,nucleoporin SEH1,LOC100647770
XP_012163837.1,LOC552243,LOC552243,XP_006570812.1,552243,PREDICTED: mucin-5AC isoform X9,GB47425,GB15350,XM_012308447.1,hyphal wall protein 1 isoform X7,LOC100649318
XP_012163838.1,LOC726284,LOC726284,XP_001122035.2,726284,PREDICTED: regulator of G-protein signaling 17 isoform X2,GB46720,GB19918,XM_012308448.1,regulator of G-protein signaling 17,LOC100643194
XP_012163839.1,LOC100578984,LOC100578984,XP_016767807.1,100578984,PREDICTED: protein charlatan,GB46757,GB17213,XM_012308449.1,zinc finger protein 16 isoform X1,LOC100652113
XP_012163841.1,LOC411079,LOC411079,XP_394553.5,411079,PREDICTED: protein grainyhead isoform X1,GB46725,GB13030,XM_012308451.1,protein grainyhead,LOC100643801
XP_012163842.1,LOC552243,LOC552243,XP_016766788.1,552243,PREDICTED: proteoglycan 4 isoform X10,GB47425,GB15350,XM_012308452.1,uncharacterized protein LOC100649318 isoform X8,LOC100649318
XP_012163843.1,LOC414043,LOC414043,XP_397479.4,414043,PREDICTED: leucine-rich repeat-containing protein 49,GB46728,GB15704,XM_012308453.1,leucine-rich repeat-containing protein 49 isoform X1,LOC100649290
XP_012163847.1,LOC100577410,LOC100577410,XP_016767801.1,100577410,PREDICTED: uncharacterized protein LOC100577410,GB46747,GB12040,XM_012308457.1,uncharacterized protein LOC100651156,LOC100651156
XP_012163849.1,LOC726551,LOC726551,XP_006562161.2,726551,PREDICTED: DNA ligase 4,GB46746,GB10302,XM_012308459.1,DNA ligase 4-like isoform X2,LOC100644250
XP_012163850.1,LOC552243,LOC552243,XP_006570814.1,552243,PREDICTED: proteoglycan 4 isoform X11,GB47425,GB15350,XM_012308460.1,uncharacterized protein LOC100649318 isoform X10,LOC100649318
XP_012163852.1,LOC726568,LOC726568,XP_006562160.1,726568,PREDICTED: general transcription factor 3C polypeptide 3,GB46745,GB20004,XM_012308462.1,general transcription factor 3C polypeptide 3-like isoform X4,LOC100644250
